losses_1: ([13.0], [12.0])
losses_2: ([12.0], [10.0])
losses_3: ([11.0], [8.0])
losses_4: ([0.0], [0.0])
losses_5: ([0.0], [0.0])
losses_6: ([1.0], [-0.0])
losses_7: ([1.0], [-0.0])
losses_8: ([2.0], [1.0])
losses_9: ([2.0], [1.0])
losses_10: ([3.0], [2.0])
losses_11: ([3.0], [2.0])
losses_12: ([3.0], [3.0])
losses_13: ([4.0], [3.0])
losses_14: ([5.0], [4.0])
losses_15: ([5.0], [4.0])
losses_16: ([6.0], [5.0])
losses_17: ([6.0], [5.0])
losses_18: ([6.0], [6.0])
losses_19: ([7.0], [6.0])
losses_20: ([7.0], [7.0])
losses_21: ([8.0], [7.0])
losses_22: ([9.0], [8.0])
losses_23: ([9.0], [8.0])
losses_24: ([10.0], [9.0])
losses_25: ([10.0], [9.0])
losses_26: ([11.0], [10.0])
losses_27: ([11.0], [10.0])
losses_28: ([11.0], [11.0])
losses_29: ([12.0], [11.0])
losses_30: ([13.0], [12.0])
losses_31: ([13.0], [12.0])
losses_32: ([13.0], [13.0])
losses_33: ([14.0], [13.0])
losses_34: ([15.0], [14.0])
losses_35: ([15.0], [14.0])
losses_36: ([15.0], [15.0])
losses_37: ([16.0], [15.0])
losses_38: ([17.0], [16.0])
losses_39: ([17.0], [16.0])
losses_40: ([17.0], [17.0])
losses_41: ([18.0], [17.0])
losses_42: ([19.0], [18.0])
losses_43: ([19.0], [18.0])
losses_44: ([20.0], [19.0])
losses_45: ([20.0], [19.0])
losses_46: ([20.0], [20.0])
losses_47: ([20.0], [20.0])
losses_48: ([21.0], [21.0])
losses_49: ([22.0], [21.0])
